[ignore] Question,Subject,Option A,Option B,Option C,Option D,Option E,Answer,Reward (Unity),Reward (credits),Grade Level,Time Limit,Lose reward (Credit),Lose Reward (unity),Image Link. Must provide a valid link. ,REASON FOR FAILING / Hint
[ignore] Btw in sheets if u start with =  or + make sure to do '+ or '= or u get error. Use \n for new line. 3-103 is MATH and 104-204 is SCIENCE and 305 - 355 is ENGLISH,√,If WR is typed in A then user has to type answer,√ (if you type SQRT i will auto do it but might be harder to read),"Science, English, COMP, Other",,,"seperate multiple answers with ,",+0.1 by default,Notice: Credits are multiplied by Inflation %,By default it is 10,By default it is 30 sec. A warning is given when the time is too short (less than 20 seconds)," If nothing is specified then by default, .5 Unity, 30 Credits",0.5 by default (unity hard to earn),"You can use the KAF Uploader, which requires a LFN account, ",
"[ignore] Lets do some INFLATION!
Gr10 questions = around 10-30 credits (20 avg)
Gr11 questions = around 75 credits (50, 100)
Gr12 questions = is the bot even going to be active then",,,,,,,,,,,,,,,
what is the value of 4096^0.25,Math,4096,0.25,1024,2,8,E,0.10,20.00,10,20,30,0.1,,
Consider √2 ,Math,Rational,Irrational,Integer,Imagenary,,B,0.10,20.00,10,10,30,0.1,,
Express 7√3 as an entire radical,Math,√49+√3,√21,√147,√159,7/√3,C,0.10,20.00,10,20,30,0.1,,
What is the value of i^137,Math,1,-1,i,7/√3,Unable to determine,C,0.20,30.00,10 Cohort,20,20,0.1,,
How many of the following is an irrational number? \ni) √9 ii)√23 iii)√(500/20) iv) 100^0.25 v)100^0.5 vi) √√81 vii)√(300/9) viii)7√90 ix) 8√169,Math,WR,,,,,4,0.40,50.00,10,50,40,0.2,,
Express √124 as a mixed radical,Math,√124,4√31,2√62,2√31,,D,0.10,20.00,10,20,30,0.1,,
"Which of the following in set notation is correct for: \nx>3, x<7",Math,"x = [3,7]","(3, 7)","{x|3 < x < 7, xER}","{x|x>3, x<7}","(3, 7), xER",C,0.10,20.00,10,30,30,0.1,,
kev keeps failing his tests. in what step did the first mistake occur?\n 1. x^2 - 6x + 9\n 2. (x-3)(x-3)\n 3. (x-3)^2\n4. (x^2 - 9)\n 5. x^2 = 9\n 6. x = +-3,Math,WR,,,,,4,0.15,40.00,10,60,50,0.15,,
